name,cost_bps,K,weighting,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,win_rate,avg_daily_return,days
bw_K10_equal_LLM35_20_15_10_20_Q35_20_15_15_15_OV50_50_C20,20.0,10,equal,0.4143609780782369,0.28898837866214544,1.3449642195413232,2.170895699566042,-0.587019445002382,0.7058726616399488,0.462984126984127,0.0015423770999412516,7875
bw_K10_equal_LLM35_20_15_10_20_Q35_20_15_15_15_OV60_40_C20,20.0,10,equal,0.41293116740427704,0.2886311074532446,1.3427425271689126,2.168291510322191,-0.5870194450023816,0.703436949013847,0.4633062468257999,0.0015379256454866944,7876
bw_K5_equal_LLM35_20_15_10_20_Q35_20_15_15_15_OV50_50_C20,20.0,5,equal,0.4214723829794236,0.2966079848422495,1.333850506024237,2.219938069562559,-0.5862951165736596,0.7188741148698815,0.4569789674952199,0.0015699631376739596,7845
bw_K5_equal_LLM35_20_15_10_20_Q35_20_15_15_15_OV60_40_C20,20.0,5,equal,0.4144767514870513,0.2969908884650536,1.3159157178207717,2.1816285300797422,-0.5862951165736594,0.7069421862308457,0.4581261950286807,0.001550853088101624,7845
bw_K10_equal_LLM20_20_20_20_20_Q35_20_15_15_15_OV50_50_C20,20.0,10,equal,0.3950868688468241,0.2890998948842238,1.297133423910087,2.0817744811521286,-0.5891605841401597,0.6705928391720686,0.4605814396343786,0.0014880997481103598,7877
bw_K10_equal_LLM35_20_15_10_20_Q20_20_20_20_20_OV60_40_C20,20.0,10,equal,0.3923032311140544,0.2881116019425323,1.2935899005013343,2.081489823975481,-0.5891605841401594,0.6658680870285897,0.46134315094579154,0.001478961343296252,7877
bw_K10_equal_LLM35_20_15_10_20_Q20_20_20_20_20_OV50_50_C20,20.0,10,equal,0.3895390303025641,0.28773829885948143,1.288009322585552,2.0674584576574846,-0.5891605841401595,0.6611763257568737,0.4606499111449607,0.0014706730611760564,7878
bw_K10_equal_LLM20_20_20_20_20_Q35_20_15_15_15_OV60_40_C20,20.0,10,equal,0.3894931955125338,0.28881845983176047,1.2841878683111143,2.060069094162927,-0.5891605841401593,0.6610985289875989,0.45975114271203654,0.0014718141360342597,7876
bw_K5_equal_LLM20_20_20_20_20_Q35_20_15_15_15_OV50_50_C20,20.0,5,equal,0.3937003420337586,0.29707097388411696,1.265728363876018,2.10228760374567,-0.5866614185454588,0.6710861317757711,0.45852475752935173,0.001492107768847188,7836
bw_K5_equal_LLM35_20_15_10_20_Q20_20_20_20_20_OV60_40_C20,20.0,5,equal,0.38894978661868773,0.2958938671198183,1.2579479963989537,2.095625358999768,-0.5862951165736596,0.6634027397187466,0.4528205781230103,0.0014770599099606465,7853
bw_K10_equal_LLM20_20_20_20_20_Q20_20_20_20_20_OV50_50_C20,20.0,10,equal,0.37214549179433654,0.287645718721182,1.2445399105214663,1.991487798468725,-0.5891605841401596,0.6316537491004391,0.4583915639690001,0.0014205816549956313,7871
bw_K5_equal_LLM20_20_20_20_20_Q35_20_15_15_15_OV60_40_C20,20.0,5,equal,0.38405861507346994,0.2970845364960513,1.2422984313775272,2.0613999064378974,-0.5866614185454591,0.6546512228905166,0.45625,0.0014645541813304963,7840
bw_K5_equal_LLM20_20_20_20_20_Q20_20_20_20_20_OV60_40_C20,20.0,5,equal,0.383629893600703,0.29697236590268183,1.241604517273102,2.0623718828994564,-0.5864960169522396,0.6541048575133687,0.456444218033622,0.0014631834564673022,7852
bw_K5_equal_LLM35_20_15_10_20_Q20_20_20_20_20_OV50_50_C20,20.0,5,equal,0.38313697020190896,0.2978104531496136,1.237663373108417,2.055495605441123,-0.5862951165736596,0.6534882508334405,0.45454545454545453,0.001462655119094223,7854
bw_K10_equal_LLM20_20_20_20_20_Q20_20_20_20_20_OV60_40_C20,20.0,10,equal,0.36800641299031756,0.2878046748502222,1.2335053266204332,1.9735150940560993,-0.5891605841401593,0.6246283660122961,0.457375174691907,0.0014087642836253659,7871
bw_K5_equal_LLM20_20_20_20_20_Q20_20_20_20_20_OV50_50_C20,20.0,5,equal,0.37527690656925294,0.29702344601045705,1.2210184432128122,2.029694990192988,-0.5864960169522396,0.6398626686663638,0.4535727932747421,0.0014391710542253017,7851
